Beholder Zombie; Large undead; neutral evil; 15; natural armor; 93; 11d10+33; 0 ft., fly 20 ft. (hover); 10; 8; 16; 3; 8; 5; Wis +2; ; ; poison; poisoned; Darkvision 60 ft., PP 9; understands Deep Speech and Undercommon but can't speak; 5; 1800; ; <i><b>Bite:</b> Melee Weapon Attack:</i> +3 to hit, reach 5 ft., one target. <i>Hit:</i> 14 (4d6) piercing damage.<br><br><i><b>Eye Ray:</b></i> The zombie uses a random magical eye ray, choosing a target that it can see within 60 feet of it.<br><br><i>1. Paralyzing Ray:</i> The targeted creature must succeed on a DC 14 Constitution saving throw or be paralyzed for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.<br><i>2. Fear Ray:</i> The targeted creature must succeed on a DC 14 Wisdom saving throw or be frightened for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.<br><i>3. Enervation Ray:</i> The targeted creature must make a DC 14 Constitution saving throw, taking 36 (8d8) necrotic damage on a failed save, or half as much damage on a successful one.<br><i>4. Disintegration Ray:</i> If the target is a creature, it must succeed on a DC 14 Dexterity saving throw or take 45 (10d8) force damage. If this damage reduces the creature to 0 hit points, its body becomes a pile of fine gray dust.<br>If the target is a Large or smaller non magical object or creation of magical force, it is disintegrated without a saving throw. If the target is a Huge or larger non magical object or creation of magical force, this ray disintegrates a 10-foot cube of it.; ; <i><b>Undead Fortitude:</b></i> If damage reduces the zombie to 0 hit points, it must make a Constitution saving throw with a DC of 5 +the damage taken, unless the damage is radiant or from a critical hit. On a success, the zombie drops to 1 hit point instead.
Tarrasque (1/2); Gargantuan monstrosity (titan); unaligned; 25; natural armor; 676; 33d20+330; 40 ft.; 30; 11; 30; 3; 11; 11; Int +5, Wis +9, Cha +9; ; ; fire, poison, bludgeoning, piercing and slashing from nonmagical attacks; charmed, frightened, paralyzed, poisoned; Blindsight 120 ft., PP 10; ---; 30; 155000; ; <i><b>Multiattack:</b></i> The tarrasque can use its Frightful Presence. It then makes five attacks: one with its bite, two with its claws, one with its horns, and one with its tail. It can use its Swallow instead of its bite.<br><br><i><b>Bite:</b> Melee Weapon Attack:</i> +19 to hit, reach 10 ft., one target. <i>Hit:</i> 36 (4d12+10) piercing damage. If the target is a creature, it is grappled (escape DC 20). Until this grapple ends, the target is restrained, and the tarrasque can't bite another target.<br><br><i><b>Claw:</b> Melee Weapon Attack:</i> +19 to hit, reach 15 ft., one target. <i>Hit:</i> 28 (4d8+10) stashing damage.<br><br><i><b>Horns:</b> Melee Weapon Attack:</i> +19 to hit, reach 10 ft., one target. <i>Hit:</i> 32 (4d10+10) piercing damage.<br><br><i><b>Tail:</b> Melee Weapon Attack:</i> +19 to hit, reach 20 ft., one target. <i>Hit:</i> 24 (4d6+10) bludgeoning damage. If the target is a creature, it must succeed on a DC 20 Strength saving throw or be knocked prone.<br><br><i><b>Frightful Presence:</b></i> Each creature of the tarrasque's choice within 120 feet of it and aware of it must succeed on a DC 17 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, with disadvantage if the tarrasque is within line of sight, ending the effect on itself on a success. If a creature's saving throw Is successful or the effect ends for it, the creature is immune to the tarrasque's Frightful Presence for the next 24 hours.; ; <i><b>Legendary Resistance (3/Day):</b></i> If the tarrasque fails a saving throw, it can choose to succeed instead.<br><br><i><b>Magic Resistance:</b></i> The tarrasque has advantage on saving throws against spells and other magical effects.<br><br><i><b>Reflective Carapace:</b></i> Any time the tarrasque is targeted by a magic missile spell, a line spell, or a spell that requires a ranged attack roll, roll a d6. On a 1 to 5, the tarrasque is unaffected. On a 6, the tarrasque is unaffected, and the effect is reflected back at the caster as though it originated from the tarrasque, turning the caster into the target.<br><br><i><b>Siege Monster:</b></i> The tarrasque deals double damage to objects and structures.
Succubus/Incubus; Medium fiend (shapechanger); neutral evil; 15; natural armor; 66; 12d8+12; 30 ft., fly 60 ft.; 8; 17; 13; 15; 12; 20; ; Deception +9, Insight +5, Perception +5, Persuasion +9, Stealth +7; cold, fire, lightning, poison, bludgeoning, piercing, and slashing from nonmagical attacks; ; ; Darkvision 60 ft., PP 15; Abyssal, Common, Infernal, Telepathy 60 ft.; 4; 1100; ; <i><b>Claw (Fiend Form Only):</b> Melee Weapon Attack:</i> +5 to hit, reach 5 ft., one target. <i>Hit:</i> 6 (1d6+3) slashing damage.<br><br><i><b>Charm:</b></i> One humanoid the fiend can see within 30 feet of it must succeed on a DC 15 Wisdom saving throw or be magically charmed for 1 day. The charmed target obeys the fiend's verbal or telepathic commands. If the target suffers any harm or receives a suicidal command, it can repeat the saving throw, ending the effect on a success. If the target successfully saves against the effect, or if the effect on it ends, the target is immune to this fiend's Charm for the next 24 hours. The fiend can have only one target charmed at a time. If it charms another, the effect on the previous target ends.<br><br><i><b>Draining Kiss:</b></i> The fiend kisses a creature charmed by it or a willing creature. The target must make a DC 15 Constitution saving throw against this magic, taking 32 (5d10+5) psychic damage on a failed save, or half as much damage on a successful one. The target's hit point maximum is reduced by an amount equal to the damage taken. This reduction lasts until the target finishes a long rest. The target dies if this effect reduces its hit point maximum to 0.<br><br><i><b>Etherealness:</b></i> The fiend magically enters the Ethereal Plane from the Material Plane, or vice versa.; ; <i><b>Telepathic Bond:</b></i> The fiend ignores the range restriction on its telepathy when communicating with a creature it has charmed. The two don't even need to be on the same plane of existence.<br><br><i><b>Shapechanger:</b></i> The fiend can use its action to polymorph into a Small or Medium humanoid, or back into its true form. Without wings, the fiend loses its flying speed. Other than its size and speed, its statistics are the same in each form. Any equipment it is wearing or carrying isn't transformed. It reverts to its true form if it dies.
Stirge; Tiny beast; unaligned; 14; natural armor; 2; 1d4; 10 ft., fly 40 ft.; 4; 16; 11; 2; 8; 6; ; ; ; ; ; Darkvision 60 ft., PP 9; ---; 1/8; 25; ; <i><b>Blood Drain:</b> Melee Weapon Attack:</i> +5 to hit, reach 5 ft., one creature. <i>Hit:</i> 5 (1d4+3) piercing damage, and the stirge attaches to the target. While attached, the stirge doesn't attack. Instead, at the start of each of the stirge's turns, the target loses 5 (1d4+3) hit points due to blood loss. The stirge can detach itself by spending 5 feet of its movement. It does so after it drains 10 hit points of blood from the target or the target dies. A creature, including the target, can use its action to detach the stirge.; ; 
Sprite; Tiny fey; neutral good; 15; leather armor; 2; 1d4; 10 ft., fly 40 ft.; 3; 18; 10; 14; 13; 11; ; Perception +3, Stealth +8; ; ; ; PP 13; Common, Elvish, Sylvan; 1/4; 50; ; <i><b>Longsword:</b> Melee Weapon Attack:</i> +2 to hit, reach 5 ft., one target. <i>Hit:</i> 1 slashing damage.<br><br><i><b>Shortbow:</b> Ranged Weapon Attack:</i> +6 to hit, range 40/160 ft., one target. <i>Hit:</i> 1 piercing damage, and the target must succeed on a DC 10 Constitution saving throw or become poisoned for 1 minute. If its saving throw result is 5 or lower, the poisoned target falls unconscious for the same duration, or until it takes damage or another creature takes an action to shake it awake.<br><br><i><b>Heart Sight:</b></i> The sprite touches a creature and magically knows the creature's current emotional state. If the target fails a DC 10 Charisma saving throw, the sprite also knows the creature's alignment. Celestials, fiends, and undead automatically fail the saving throw.<br><br><i><b>Invisibility:</b></i> The sprite magically turns invisible until it attacks or casts a spell, or until its concentration ends (as if concentrating on a spell). Any equipment the sprite wears or carries is invisible with it.; ; 
Gynosphinx; Large monstrosity; lawful neutral; 17; natural armor; 136; 16d10+48; 40 ft., fly 60 ft.; 18; 15; 16; 18; 18; 18; ; Arcana +14, History +14, Perception +9, Religion +9; bludgeoning, piercing, and slashing from nonmagical weapons; psychic; charmed, frightened; Truesight 120 ft., PP 19; Common, Sphinx; 11; 7200; ; <i><b>Multiattack:</b></i> The sphinx makes two claw attacks.<br><br><i><b>Claw:</b> Melee Weapon Attack:</i> +9 to hit, reach 5 ft., one target. <i>Hit:</i> 13 (2d8+4) slashing damage.<br><br>; The sphinx can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The sphinx regains spent legendary actions at the start of its turn.<br><br><i><b>Claw Attack:</b></i> The sphinx makes one claw attack.<br><i><b>Teleport (Costs 2 Actions):</b></i> The sphinx magically teleports, along with any equipment it is wearing or carrying, up to 120 feet to an unoccupied space it can see.<br><i><b>Cast a Spell (Costs 3 Actions):</b></i> The sphinx casts a spell from its list of prepared spells, using a spell slot as normal.; <i><b>Inscrutable:</b></i> The sphinx is immune to any effect that would sense its emotions or read its thoughts, as well as any divination spell that it refuses. Wisdom (Insight) checks made to ascertain the sphinx's intentions or sincerity have disadvantage.<br><i><b>Magic Weapons:</b></i> The sphinx's weapon attacks are magical.<br><i><b>Spellcasting:</b></i> The sphinx is a 9th·level spellcaster. Its spellcasting ability is Intelligence (spell save DC 17, +9 to hit with spell attacks). It requires no material components to cast its spells. The sphinx has the following cleric spells prepared:<br>Cantrips (at will): <i>mage hand, minor illusion, prestidigitation</i><br>1st level (4 slots): <i>detect magic, identify, shield</i><br>2nd level (3 slots): <i>darkness, locate object, suggestion</i><br>3rd level (3 slots): <i>dispel magic, remove curse, tongues</i><br>4th level (3 slots): <i>banishment,greater invisibility</i><br>5th level (1 slots): <i>legend lore</i>
Androspinx; Large monstrosity; lawful neutral; 17; natural armor; 199; 19d10+95; 40 ft., fly 60 ft.; 22; 10; 20; 16; 18; 23; Dex +6, Con +11, Int +9, Wis +10; Arcana +9, Perception +10, Religion +15; ; psychic, bludgeoning, piercing, and slashing from nonmagical weapons; charmed, frightened; Truesight 120 ft., PP 20; Common, Sphinx; 17; 18000; ; <i><b>Multiattack:</b></i> The sphinx makes two claw attacks.<br><br><i><b>Claw:</b> Melee Weapon Attack:</i> +12 to hit, reach 5 ft., one target. <i>Hit:</i> 17 (2d10+6) slashing damage.<br><br><i><b>Roar (3/Day):</b></i> The sphinx emits a magical roar. Each time it roars before finishing a long rest, the roar is louder and the effect is different, as detailed below. Each creature within 500 feet of the sphinx and able to hear the roar must make a saving throw.<br><br><i><b>First Roar:</b></i> Each creature that fails a DC 18 Wisdom saving throw is frightened for 1 minute. A frightened creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.<br><br><i><b>Second Roar:</b></i> Each creature that fails a DC 18 Wisdom saving throw is deafened and frightened for 1 minute. A frightened creature is paralyzed and can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.<br><br><i><b>Third Roar:</b></i> Each creature makes a DC 18 Constitution saving throw. On a failed save, a creature takes 44 (8d10) thunder damage and is knocked prone. On a successful save, the creature takes half as much damage and isn't knocked prone.<br><br>; The sphinx can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The sphinx regains spent legendary actions at the start of its turn.<br><br><i><b>Claw Attack:</b></i> The sphinx makes one claw attack.<br><i><b>Teleport (Costs 2 Actions):</b></i> The sphinx magically teleports, along with any equipment it is wearing or carrying, up to 120 feet to an unoccupied space it can see.<br><i><b>Cast a Spell (Costs 3 Actions):</b></i> The sphinx casts a spell from its list of prepared spells, using a spell slot as normal.; <i><b>Inscrutable:</b></i> The sphinx is immune to any effect that would sense its emotions or read its thoughts, as well as any divination spell that it refuses. Wisdom (Insight) checks made to ascertain the sphinx's intentions or sincerity have disadvantage.<br><i><b>Magic Weapons:</b></i> The sphinx's weapon attacks are magical.<br><i><b>Spellcasting:</b></i> The sphinx is a 12th·level spellcaster. Its spellcasting ability is Wisdom (spell save DC 18, +10 to hit with spell attacks). It requires no material components to cast its spells. The sphinx has the following cleric spells prepared:<br>Cantrips (at will): <i>sacred flame, spare the dying, thaumaturgy</i><br>1st level (4 slots): <i>command, detect evil and good, detect magic</i><br>2nd level (3 slots): <i>lesser restoration, zone of truth</i><br>3rd level (3 slots): <i>dispel magic, tongues</i><br>4th level (3 slots): <i>banishment,freedom of movement</i><br>5th level (2 slots): <i>flame strike, greater restoration</i> <br>6th level (1 slot): <i>heroes'feast</i>
Poltergeist; Medium undead; chaotic evil; 12; ; 22; 5d8; 0 ft., fly 50 ft. (hover); 1; 14; 11; 10; 10; 11; ; ; acid, cold, fire, lightning, thunder, bludgeoning, piercing, and slashing from nonmagical weapons; necrotic, poison; charmed, exhaustion, grappled, paralyzed, petrified, poisoned, prone, restrained, unconscious; Darkvision 60 ft., PP 10; understands all languages it knew in life but can't speak; 2; 450; ; <i><b>Forceful Slam:</b> Melee Weapon Attack:</i> +4 to hit, reach 5 ft., one creature. <i>Hit:</i> 10 (3d6) force damage.<br><br><i><b>Telekinetic Thrust:</b></i> The poltergeist targets a creature or unattended object within 30 feet of it. A creature must be Medium or smaller to be affected by this magic, and an object can weigh up to 150 pounds.<br>If the target is a creature, the poltergeist makes a Charisma check contested by the target's Strength check. If the poltergeist wins the contest, the poltergeist hurls the target up to 30 feet in any direction, including upward. If the target then comes into contact with a hard surface or heavy object, the target takes 1 d6 damage per 10 feet moved.<br>If the target is an object that isn't being worn or carried, the poltergeist hurls it up to 30 feet in any direction. The poltergeist can use the object as a ranged weapon, attacking one creature along the object's path (+4 to hit) and dealing 5 (2d4) bludgeoning damage on a hit.; ; <i><b>Incorporeal Movement:</b></i> The specter can move through other creatures and objects as if they were difficult terrain. It takes 5 (1d10) force damage if it ends its turn inside an object.<br><br><i><b>Sunlight Sensitivity:</b></i> While in sunlight, the specter has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.<br><br><i><b>Invisibility:</b></i> The poltergeist is invisible.
Specter; Medium undead; chaotic evil; 12; ; 22; 5d8; 0 ft., fly 50 ft. (hover); 1; 14; 11; 10; 10; 11; ; ; acid, cold, fire, lightning, thunder, bludgeoning, piercing, and slashing from nonmagical weapons; necrotic, poison; charmed, exhaustion, grappled, paralyzed, petrified, poisoned, prone, restrained, unconscious; Darkvision 60 ft., PP 10; understands all languages it knew in life but can't speak; 1; 200; ; <i><b>Life Drain:</b> Melee Spell Attack:</i> +4 to hit, reach 5 ft., one creature. <i>Hit:</i> 10 (3d6) necrotic damage. The target must succeed on a DC 10 Constitution saving throw or its hit point maximum is reduced by an amount equal to the damage taken. This reduction lasts until the creature finishes a long rest. The target dies if this effect reduces its hit point maximum to 0.; ; <i><b>Incorporeal Movement:</b></i> The specter can move through other creatures and objects as if they were difficult terrain. It takes 5 (1d10) force damage if it ends its turn inside an object.<br><br><i><b>Sunlight Sensitivity:</b></i> While in sunlight, the specter has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.
Death Slaad; Large aberration (shapechanger); chaotic evil; 18; natural armor; 170; 20d8+80; 30 ft.; 20; 15; 19; 15; 10; 16; ; Arcana +6, Perception +8; acid, cold, fire, lightning, thunder; ; ; Blindsight 60 ft., Darkvision 60 ft., PP 18; Slaad, Telepathy 60 ft.; 10; 5900; ; <i><b>Multiattack:</b></i> The slaad makes three attacks: one with its bite and two with its claws or greatsword.<br><br><i><b>Bite (Slaad Form Only):</b> Melee Weapon Attack:</i> +9 to hit, reach 5 ft., one target. <i>Hit:</i> 9 (1d8+5) piercing damage plus 7 (2d6) necrotic damage.<br><br><i><b>Claws (Slaad Form Only):</b> Melee Weapon Attack:</i> +9 to hit, reach 5 ft., one target. <i>Hit:</i> 10 (1d10+5) slashing damage plus 7 (2d6) necrotic damage.<br><br><i><b>Greatsword:</b> Melee Weapon Attack:</i> +9 to hit, reach 5 fit., one target. <i>Hit:</i> 12 (2d6+5) slashing damage plus 7 (2d6) necrotic damage.; ; <i><b>Shapechanger:</b></i> The slaad can use its action to polymorph into a Small or Medium humanoid, or back into its true form. Its statistics, other than its size, are the same in each form. Any equ ipment it is wearing or carrying isn't transformed. It reverts to its true form if it dies.<br><br><i><b>Innate Spellcasting:</b></i> The slaad's innate spellcasting ability is Charisma (spell save DC 15, +7 to hit with spell attacks). The slaad can innately cast the following spells, requiring no material components:<br>At will: <i>detect magic, detect thoughts, invisibility (self only), mage hand, major image</i><br>2/day each: <i>fear, fireball, fly, tongues</i><br>1/day: <i>cloudkill, plane shift</i><br><br><i><b>Magic Resistance:</b></i> The slaad has advantage on saving throws against spells and other magical effects.<br><i><b>Magic Weapon:</b></i> The slaad's weapon attacks are magical.<br><i><b>Regeneration:</b></i> The slaad regains 10 hit points at the start of its turn if it has at least 1 hit point.
Gray Slaad; Large aberration (shapechanger); chaotic neutral; 18; natural armor; 127; 17d8+51; 30 ft.; 17; 17; 16; 13; 8; 14; ; Arcana +5, Perception +6; acid, cold, fire, lightning, thunder; ; ; Blindsight 60 ft., Darkvision 60 ft., PP 16; Slaad, Telepathy 60 ft.; 9; 5000; ; <i><b>Multiattack:</b></i> The slaad makes three attacks: one with its bite and two with its claws or greatsword.<br><br><i><b>Bite (Slaad Form Only):</b> Melee Weapon Attack:</i> +7 to hit, reach 5 ft., one target. <i>Hit:</i> 6 (1d6+3) piercing damage.<br><br><i><b>Claws (Slaad Form Only):</b> Melee Weapon Attack:</i> +7 to hit, reach 5 ft., one target. <i>Hit:</i> 8 (1d10+3) slashing damage.<br><br><i><b>Greatsword:</b> Melee Weapon Attack:</i> +7 to hit, reach 5 fit., one target. <i>Hit:</i> 10 (2d6+3) slashing damage.; ; <i><b>Shapechanger:</b></i> The slaad can use its action to polymorph into a Small or Medium humanoid, or back into its true form. Its statistics, other than its size, are the same in each form. Any equ ipment it is wearing or carrying isn't transformed. It reverts to its true form if it dies.<br><br><i><b>Innate Spellcasting:</b></i> The slaad's innate spellcasting ability is Charisma (spell save DC 14). The slaad can innately cast the following spells, requiring no material components:<br>At will: <i>detect magic, detect thoughts, invisibility (self only), mage hand, major image</i><br>2/day each: <i>fear, fly, fireball, tongues</i><br>1/day: <i>plane shift (self only)</i><br><br><i><b>Magic Resistance:</b></i> The slaad has advantage on saving throws against spells and other magical effects.<br><br><i><b>Magic Weapon:</b></i> The slaad's weapon attacks are magical.<br><br><i><b>Regeneration:</b></i> The slaad regains 10 hit points at the start of its turn if it has at least 1 hit point.
Green Slaad; Large aberration (shapechanger); chaotic neutral; 16; natural armor; 127; 15d10+45; 30 ft.; 18; 15; 16; 11; 8; 12; ; Arcana +3, Perception +2; acid, cold, fire, lightning, thunder; ; ; Blindsight 30 ft., Darkvision 60 ft., PP 12; Slaad, Telepathy 60 ft.; 8; 3900; ; <i><b>Multiattack:</b></i> The slaad makes three attacks: one with its bite and two with its claws or staff. Alternatively, it uses its Hurl Flame twice.<br><br><i><b>Bite (Slaad Form Only):</b> Melee Weapon Attack:</i> +7 to hit, reach 5 ft., one target. <i>Hit:</i> 11 (2d6+4) piercing damage.<br><br><i><b>Claw (Slaad Form Only):</b> Melee Weapon Attack:</i> +7 to hit, reach 5 ft., one target. <i>Hit:</i> 7 (1d6+4) slashing damage.<br><br><i><b>Staff:</b> Melee Weapon Attack:</i> +7 to hit, reach 5 fit., one target. <i>Hit:</i> 11 (2d6+4) bludgeoning damage.<br><br><i><b>Hurl Flame:</b> Ranged Spell Attack:</i> +4 to hit, range 60 ft., one target. <i>Hit:</i> 10 (3d6) fire damage. The fire ignites flammable objects that aren't being worn or carried.; ; <i><b>Shapechanger:</b></i> The slaad can use its action to polymorph into a Small or Medium humanoid, or back into its true form. Its statistics, other than its size, are the same in each form. Any equ ipment it is wearing or carrying isn't transformed. It reverts to its true form if it dies.<br><br><i><b>Innate Spellcasting:</b></i> The slaad's innate spellcasting ability is Charisma (spell save DC 12). The slaad can innately cast the following spells, requiring no material components:<br><br>At will: <i>detect magic, detect thoughts, mage hand</i><br>2/day each: <i>fear, invisibility (self only)</i><br>1/day: <i>fireball</i><br><br><i><b>Magic Resistance:</b></i> The slaad has advantage on saving throws against spells and other magical effects.<br><br><i><b>Regeneration:</b></i> The slaad regains 10 hit points at the start of its turn if it has at least 1 hit point.
Blue Slaad; Large aberration; chaotic neutral; 15; natural armor; 123; 13d10+52; 30 ft.; 20; 15; 18; 7; 7; 9; ; Perception +1; acid, cold, fire, lightning, thunder; ; ; Darkvision 60 ft., PP 11; Slaad, Telepathy 60 ft.; 7; 2900; ; <i><b>Multiattack:</b></i> The slaad makes three attacks: one with its bite and two with its claws.<br><br><i><b>Bite:</b> Melee Weapon Attack:</i> +8 to hit, reach 5 ft., one target. <i>Hit:</i> 12 (2d6+5) piercing damage.<br><br><i><b>Claw:</b> Melee Weapon Attack:</i> +8 to hit, reach 5 ft., one target. <i>Hit:</i> 12 (2d6+5) slashing damage. If the target is a humanoid, it must succeed on a DC 15 Constitution saving throw or be infected with a disease called chaos phage. While infected, the target can't regain hit points, and its hit point maximum is reduced by 10 (3d6) every 24 hours. If the disease reduces the target's hit points to 0, the target instantly transforms into a red slaad or, if it has the ability to cast spells of 3rd level or higher, a green slaad. Only a wish spell can reverse the transformation.; ; <i><b>Magic Resistance:</b></i> The slaad has advantage on saving throws against spells and other magical effects.<br><br><i><b>Regeneration:</b></i> The slaad regains 10 hit points at the start of its turn if it has at least 1 hit point.
Red Slaad; Large aberration; chaotic neutral; 14; natural armor; 93; 11d10+3; 30 ft.; 16; 12; 16; 6; 6; 7; ; Perception +1; acid, cold, fire, lightning, thunder; ; ; Darkvision 60 ft., PP 11; Slaad, Telepathy 60 ft.; 5; 1800; ; <i><b>Multiattack:</b></i> The slaad makes three attacks: one with its bite and two with its claws.<br><br><i><b>Bite:</b> Melee Weapon Attack:</i> +6 to hit, reach 5 ft., one target. <i>Hit:</i> 8 (2d4+3) piercing damage.<br><br><i><b>Claw:</b> Melee Weapon Attack:</i> +6 to hit, reach 5 ft., one target. <i>Hit:</i> 7 (1d8+3) piercing damage. If the target is a humanoid, it must succeed on a DC 14 Constitution saving throw or be infected with a disease - a minuscule slaad egg.<br>A humanoid host can carry only one slaad egg to term at a time. Over three months, the egg moves to the chest cavity, gestates, and forms a slaad tadpole. In the 24-hour period before giving birth, the host starts to feel unwell, its speed is halved, and it has disadvantage on attack rolls, ability checks, and saving throws. At birth, the tadpole chews its way through vital organs and out of the host's chest in 1 round, killing the host in the process.<br>If the disease is cured before the tadpole's emergence, the unborn slaad is disintegrated.; ; <i><b>Magic Resistance:</b></i> The slaad has advantage on saving throws against spells and other magical effects.<br><br><i><b>Regeneration:</b></i> The slaad regains 10 hit points at the start of its turn if it has at least 1 hit point.
Slaad Tadpole; Tiny aberration; chaotic neutral; 12; ; 10; 4d4; 30 ft.; 7; 15; 10; 3; 5; 3; ; Stealth +4; acid, cold, fire, lightning, thunder; ; ; Darkvision 60 ft., PP 7; understands Slaad but can't speak; 1/8; 25; ; <i><b>Bite:</b> Melee Weapon Attack:</i> +4 to hit, reach 5 ft., one target. <i>Hit:</i> 4 (1d4+2) piercing damage.; ; <i><b>Magic Resistance:</b></i> The slaad has advantage on saving throws against spells and other magical effects.
Warhorse Skeleton; Large undead; lawful evil; 13; barding scraps; 22; 3d10+6; 60 ft.; 18; 12; 15; 2; 8; 5; ; ; ; poison; exhaustion, poisoned; Darkvision 60 ft., PP 9; ---; 1/2; 100; ; <i><b>Hooves:</b> Melee Weapon Attack:</i> +6 to hit, reach 5 ft., one target. <i>Hit:</i> 11 (2d6+4) bludgeoning damage.; ; <i><b>Damage Vulnerabilities:</b></i> bludgeoning
Minotaur Skeleton; Large undead; lawful evil; 12; natural armor; 67; 9d10+18; 40 ft.; 18; 11; 15; 6; 8; 5; ; ; ; poison; exhaustion, poisoned; Darkvision 60 ft., PP 9; understands Abyssal but can't speak; 2; 450; ; <i><b>Greataxe:</b> Melee Weapon Attack:</i> +6 to hit, reach 5 ft., one target. <i>Hit:</i> 17 (2d12+4) slashing damage.<br><br><i><b>Gore:</b> Melee Weapon Attack:</i> +6 to hit, reach 5 ft., one target. <i>Hit:</i> 13 (2d8+4) piercing damage.; ; <i><b>Damage Vulnerabilities:</b></i> bludgeoning<br><br><i><b>Charge:</b></i> If the skeleton moves at least 10 feet straight toward a target and then hits it with a gore attack on the same turn, the target takes an extra 9 (2d8) piercing damage. If the target is a creature, it must succeed on a DC 14 Strength saving throw or be pushed up to 10 feet away and knocked prone.
Skeleton; Medium undead; lawful evil; 13; armor scraps; 13; 2d8+4; 30 ft.; 10; 14; 15; 6; 8; 5; ; ; ; poison; exhaustion, poisoned; Darkvision 60 ft., PP 9; understands all languages it knew in life but can't speak; 1/4; 50; ; <i><b>Shortsword:</b> Melee Weapon Attack:</i> +4 to hit, reach 5 ft., one target. <i>Hit:</i> 5 (1d6+2) piercing damage.<br><br><i><b>Shortbow:</b> Ranged Weapon Attack:</i> +4 to hit, range 80/320 ft., one target. <i>Hit:</i> 5 (1d6+2) piercing damage.; ; <i><b>Damage Vulnerabilities:</b></i> bludgeoning
Shield Guardian; Large construct; unaligned; 17; natural armor; 142; 15d10+60; 30 ft.; 18; 8; 18; 7; 10; 3; ; ; ; poison; charmed, exhaustion, frightened, paralyzed, poisoned; Blindsight 10 ft., Darkvision 60 ft., PP 10; understands commands given in any language but can't speak; 7; 2900; ; <i><b>Multiattack:</b></i> The guardian makes two fist attacks.<br><br><i><b>Fist:</b> Melee Weapon Attack:</i> +7 to hit, reach 5 ft., one target. <i>Hit:</i> 11 (2d6+4) bludgeoning damage.<br><br><h1>Reactions</h1><p><i><b>Shield:</b></i> When a creature makes an attack against the wearer of the guardian's amulet, the guardian grants a +2 bonus to the wearer's AC if the guardian is within 5 feet oft he wearer.</p>; ; <i><b>Bound:</b></i> The shield guardian is magically bound to an amulet. As long as the guardian and its amulet are on the same plane of existence, the amulet's wearer can telepathically call the guardian to travel to it, and the guardian knows the distance and direction to the amulet. If the guardian is within 60 feet of the amulet's wearer, half of any damage the wearer takes (rounded up) is transferred to the guardian.<br><i><b>Regeneration:</b></i> The shield guardian regains 10 hit points at the start of its turn if it has at least 1 hit. point.<br><i><b>Spell Storing:</b></i> A spellcaster who wears the shield guardian's amulet can cause the guardian to store one spell of 4th level or lower. To do so, the wearer must cast the spell on the guardian. The spell has no effect but is stored within the guardian. When commanded to do so by the wearer or when a situation arises that was predefined by the spellcaster, the guardian casts the stored spell with any parameters set by the original caster, requiring no components. When the spell is cast or a new spell is stored, any previously stored spell is lost.
Shambling Mound; Large plant; unaligned; 15; natural armor; 136; 16d10+48; 20 ft., swim 20 ft.; 18; 8; 16; 5; 10; 5; ; Stealth +2; cold, fire; lightning; blinded, deafened, exhaustion; Blindsight 60 ft. (blind beyond this radius), PP 10; ---; 5; 1800; ; <i><b>Multiattack:</b></i> The shambling mound makes two slam attacks. If both attacks hit a Medium or smaller target, the target is grappled (escape DC 14), and the shambling mound uses its Engulf on it.<br><br><i><b>Slam:</b> Melee Weapon Attack:</i> +7 to hit, reach 5 ft., one target. <i>Hit:</i> 13 (2d8+4) bludgeoning damage.<br><br><i><b>Engulf:</b></i> The shambling mound engulfs a Medium or smaller creature grappled by it. The engulfed target is blinded, restrained, and unable to breathe, and it must succeed on a DC 14 Constitution saving throw at the start of each of the mound's turns or take 13 (2d8+4) bludgeoning damage. If the mound moves, the engulfed target moves with it. The mound can have only one creature engulfed at a time.; ; <i><b>Lightning Absorption:</b></i> Whenever the shambling mound is subjected to lightning damage, it takes no damage and regains a number of hit points equal to the lightning damage dealt.
